Epoch 1: Train Loss=0.1798, Train IoU=0.6155, Val Loss=0.1313, Val IoU=0.6903, LR=4.88e-05
Epoch 2: Train Loss=0.1349, Train IoU=0.6838, Val Loss=0.1259, Val IoU=0.7036, LR=4.73e-05
Epoch 3: Train Loss=0.1249, Train IoU=0.7005, Val Loss=0.1181, Val IoU=0.7161, LR=4.53e-05
Epoch 4: Train Loss=0.1219, Train IoU=0.7050, Val Loss=0.1141, Val IoU=0.7201, LR=4.28e-05
Epoch 5: Train Loss=0.1152, Train IoU=0.7181, Val Loss=0.1077, Val IoU=0.7335, LR=3.99e-05
Epoch 6: Train Loss=0.1113, Train IoU=0.7252, Val Loss=0.1069, Val IoU=0.7415, LR=3.66e-05
Epoch 7: Train Loss=0.1103, Train IoU=0.7251, Val Loss=0.1053, Val IoU=0.7352, LR=3.31e-05
Epoch 8: Train Loss=0.1089, Train IoU=0.7288, Val Loss=0.0979, Val IoU=0.7494, LR=2.93e-05
Epoch 9: Train Loss=0.1060, Train IoU=0.7351, Val Loss=0.1033, Val IoU=0.7386, LR=2.55e-05
Epoch 10: Train Loss=0.1037, Train IoU=0.7389, Val Loss=0.0972, Val IoU=0.7529, LR=2.17e-05
Epoch 11: Train Loss=0.1034, Train IoU=0.7405, Val Loss=0.0992, Val IoU=0.7482, LR=1.79e-05
Epoch 12: Train Loss=0.0985, Train IoU=0.7481, Val Loss=0.0959, Val IoU=0.7534, LR=1.44e-05
Epoch 13: Train Loss=0.1003, Train IoU=0.7458, Val Loss=0.0938, Val IoU=0.7590, LR=1.11e-05
Epoch 14: Train Loss=0.0991, Train IoU=0.7488, Val Loss=0.0916, Val IoU=0.7663, LR=8.18e-06
Epoch 15: Train Loss=0.0975, Train IoU=0.7523, Val Loss=0.0923, Val IoU=0.7620, LR=5.68e-06
Epoch 16: Train Loss=0.0957, Train IoU=0.7525, Val Loss=0.0916, Val IoU=0.7633, LR=3.67e-06
Epoch 17: Train Loss=0.0969, Train IoU=0.7529, Val Loss=0.0912, Val IoU=0.7643, LR=2.20e-06
Epoch 18: Train Loss=0.0942, Train IoU=0.7567, Val Loss=0.0912, Val IoU=0.7646, LR=1.30e-06
Epoch 19: Train Loss=0.0957, Train IoU=0.7542, Val Loss=0.0910, Val IoU=0.7652, LR=1.00e-06
Epoch 20: Train Loss=0.1036, Train IoU=0.7384, Val Loss=0.0985, Val IoU=0.7508, LR=4.99e-05
Epoch 21: Train Loss=0.1023, Train IoU=0.7423, Val Loss=0.0997, Val IoU=0.7500, LR=4.97e-05
Epoch 22: Train Loss=0.1021, Train IoU=0.7406, Val Loss=0.0988, Val IoU=0.7520, LR=4.93e-05
Epoch 23: Train Loss=0.1004, Train IoU=0.7454, Val Loss=0.0941, Val IoU=0.7615, LR=4.88e-05
Epoch 24: Train Loss=0.1016, Train IoU=0.7423, Val Loss=0.0966, Val IoU=0.7519, LR=4.81e-05
Epoch 25: Train Loss=0.0979, Train IoU=0.7501, Val Loss=0.0994, Val IoU=0.7486, LR=4.73e-05
