image_name,pixel_accuracy,crop_iou,crop_precision,crop_recall,crop_f1,weed_iou,weed_precision,weed_recall,weed_f1
1461247065_539612021,1.0000,0.6667,0.9725,0.6795,0.8000,0.0000,0.0000,0.0000,0.0000
1461247070_539694637,1.0000,0.7633,0.8238,0.9122,0.8657,0.0000,0.0000,0.0000,0.0000
1461247075_539744502,1.0000,0.8125,0.8168,0.9936,0.8966,0.0000,0.0000,0.0000,0.0000
1461247077_539815790,1.0000,0.6340,0.9798,0.6424,0.7760,0.0000,0.0000,0.0000,0.0000
1461247079_539870024,0.9997,0.4471,0.5097,0.7844,0.6179,0.0000,0.0000,0.0000,0.0000
1461247080_539891021,0.9998,0.5268,0.5388,0.9593,0.6901,0.0000,0.0000,0.0000,0.0000
1461247083_539875868,0.9999,0.5597,1.0000,0.5597,0.7177,0.0000,0.0000,0.0000,0.0000
1461247087_539910120,1.0000,0.8451,0.8491,0.9945,0.9160,0.0000,0.0000,0.0000,0.0000
1461247089_539969413,0.9999,0.7518,0.7940,0.9339,0.8583,0.0000,0.0000,0.0000,0.0000
1461247105_540194312,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247106_540195883,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247112_540294441,1.0000,0.7986,0.8222,0.9652,0.8880,0.0000,0.0000,0.0000,0.0000
1461247113_540314105,1.0000,0.8269,0.8557,0.9609,0.9053,0.0000,0.0000,0.0000,0.0000
1461247114_540313291,1.0000,0.8095,0.8166,0.9894,0.8947,0.0000,0.0000,0.0000,0.0000
1461247118_540434299,1.0000,0.8021,0.8783,0.9023,0.8902,0.0000,0.0000,0.0000,0.0000
1461247119_540399276,1.0000,0.7568,0.7814,0.9600,0.8615,0.0000,0.0000,0.0000,0.0000
1461247121_540432864,1.0000,0.7065,0.8553,0.8025,0.8280,0.0000,0.0000,0.0000,0.0000
1461247122_541933884,0.9999,0.5337,0.5689,0.8962,0.6960,0.0000,0.0000,0.0000,0.0000
1461247125_540471347,1.0000,0.8381,0.8535,0.9790,0.9119,0.0000,0.0000,0.0000,0.0000
1461247126_540482439,1.0000,0.8216,0.8294,0.9887,0.9021,0.0000,0.0000,0.0000,0.0000
1461247130_540539048,1.0000,0.8579,0.8956,0.9532,0.9235,0.0000,0.0000,0.0000,0.0000
1461247132_540579781,1.0000,0.9048,0.9087,0.9952,0.9500,0.0000,0.0000,0.0000,0.0000
1461247134_542225244,0.9999,0.5367,0.5562,0.9385,0.6985,0.0000,0.0000,0.0000,0.0000
1461247136_540649642,0.9999,0.6250,0.6541,0.9336,0.7692,0.0000,0.0000,0.0000,0.0000
1461247141_540704027,1.0000,0.8621,0.9259,0.9259,0.9259,0.0000,0.0000,0.0000,0.0000
1461247144_540757525,1.0000,0.7459,0.8282,0.8824,0.8544,0.0000,0.0000,0.0000,0.0000
1461247145_541585012,1.0000,0.8187,0.8713,0.9313,0.9003,0.0000,0.0000,0.0000,0.0000
1461247146_540776597,1.0000,0.7591,0.8883,0.8392,0.8630,0.0000,0.0000,0.0000,0.0000
1461247157_541318832,1.0000,0.8502,0.8972,0.9419,0.9190,0.0000,0.0000,0.0000,0.0000
1461247158_540959124,0.9998,0.4466,0.8641,0.4804,0.6175,0.0000,0.0000,0.0000,0.0000
1461247161_541161551,1.0000,0.7828,0.8807,0.8757,0.8782,0.0000,0.0000,0.0000,0.0000
1461247166_541323731,0.9999,0.7426,0.7829,0.9352,0.8523,0.0000,0.0000,0.0000,0.0000
1461247167_543828468,0.9999,0.5403,0.6009,0.8428,0.7016,0.0000,0.0000,0.0000,0.0000
1461247169_541116660,0.9999,0.7153,0.7178,0.9952,0.8340,0.0000,0.0000,0.0000,0.0000
1461247177_541243897,0.9999,0.7834,0.8066,0.9647,0.8786,0.0000,0.0000,0.0000,0.0000
1461247227_541940776,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247228_541943041,0.9999,0.1091,1.0000,0.1091,0.1967,0.0000,0.0000,0.0000,0.0000
1461247236_542074433,1.0000,0.8474,0.9360,0.8994,0.9174,0.0000,0.0000,0.0000,0.0000
1461247237_542077774,0.9999,0.7509,0.7829,0.9484,0.8577,0.0000,0.0000,0.0000,0.0000
1461247239_542097259,1.0000,0.7860,0.8108,0.9626,0.8802,0.0000,0.0000,0.0000,0.0000
1461247245_543839873,1.0000,0.7636,0.8038,0.9385,0.8660,0.0000,0.0000,0.0000,0.0000
1461247252_542329537,0.9999,0.7069,0.7971,0.8620,0.8283,0.0000,0.0000,0.0000,0.0000
1461247253_544870708,0.9999,0.7343,0.8374,0.8564,0.8468,0.0000,0.0000,0.0000,0.0000
1461247254_542338030,0.9999,0.8511,0.8696,0.9756,0.9195,0.0000,0.0000,0.0000,0.0000
1461247255_542369374,1.0000,0.7808,0.8507,0.9048,0.8769,0.0000,0.0000,0.0000,0.0000
1461247256_544740244,1.0000,0.8041,0.8387,0.9512,0.8914,0.0000,0.0000,0.0000,0.0000
1461247257_542378240,1.0000,0.7195,0.9034,0.7794,0.8368,0.0000,0.0000,0.0000,0.0000
1461247258_542382588,1.0000,0.8136,0.8170,0.9948,0.8972,0.0000,0.0000,0.0000,0.0000
1461247260_542405806,1.0000,0.8333,0.8543,0.9714,0.9091,0.0000,0.0000,0.0000,0.0000
1461247262_542450787,1.0000,0.8588,0.9182,0.9299,0.9241,0.0000,0.0000,0.0000,0.0000
1461247264_542516285,0.9999,0.5940,0.6297,0.9128,0.7453,0.0000,0.0000,0.0000,0.0000
1461247265_542517652,1.0000,0.8168,0.8711,0.9292,0.8992,0.0000,0.0000,0.0000,0.0000
1461247266_542510441,1.0000,0.8339,0.8537,0.9729,0.9094,0.0000,0.0000,0.0000,0.0000
1461247269_542544762,1.0000,0.7302,0.8051,0.8870,0.8441,0.0000,0.0000,0.0000,0.0000
1461247271_542572109,0.9999,0.7667,0.8150,0.9283,0.8679,0.0000,0.0000,0.0000,0.0000
1461247273_542618309,0.9999,0.6264,0.8571,0.6994,0.7703,0.0000,0.0000,0.0000,0.0000
1461247278_542683875,1.0000,0.8500,0.9000,0.9387,0.9189,0.0000,0.0000,0.0000,0.0000
1461247280_542738218,1.0000,0.8201,0.9118,0.8908,0.9012,0.0000,0.0000,0.0000,0.0000
1461247281_542721030,1.0000,0.8000,0.8119,0.9820,0.8889,0.0000,0.0000,0.0000,0.0000
1461247288_542843158,1.0000,0.8374,0.9551,0.8718,0.9115,0.0000,0.0000,0.0000,0.0000
1461247289_542861510,1.0000,0.9011,0.9647,0.9318,0.9480,0.0000,0.0000,0.0000,0.0000
1461247290_542848275,0.9999,0.4675,0.9600,0.4768,0.6372,0.0000,0.0000,0.0000,0.0000
1461247292_542888506,1.0000,0.7929,0.7929,1.0000,0.8845,0.0000,0.0000,0.0000,0.0000
1461247294_542902694,0.9999,0.5193,0.5434,0.9216,0.6836,0.0000,0.0000,0.0000,0.0000
1461247295_542906829,1.0000,0.8007,0.8152,0.9783,0.8893,0.0000,0.0000,0.0000,0.0000
1461247301_543011919,0.9999,0.5860,0.9478,0.6056,0.7390,0.0000,0.0000,0.0000,0.0000
1461247309_543141134,0.9999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1461247311_543166445,1.0000,0.8267,0.8297,0.9957,0.9051,0.0000,0.0000,0.0000,0.0000
